Nome;Atualizacao;Link;Bolsista;OrientaÃ§Ãµes e supervisÃµes concluÃ_das;Resumos expandidos publicados em anais de congressos;Trabalhos completos publicados em anais de congressos;Artigos completos publicados em periÃ_dicos;Projetos de ensino;Resumos publicados em anais de congressos;CapÃ_tulos de livros publicados;Projetos de pesquisa;ApresentaÃ§Ãµes de Trabalho;ParticipaÃ§Ã£o em eventos, congressos, exposiÃ§Ãµes e feiras;ParticipaÃ§Ã£o em bancas de trabalhos de conclusÃ£o
Rose Gomes Monnerat Solon de Pontes;13/11/2018;http://lattes.cnpq.br/9239372895737198;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;1;0;22;0;61;2;0;23;0;10
Marcelo Fagioli;28/04/2018;http://lattes.cnpq.br/9070338849414583;N/A;0;0;0;6;0;2;0;5;2;0;29
Manoel Carlos GonÃ§alves;02/12/2018;http://lattes.cnpq.br/6015983385635231;N/A;0;2;1;11;0;0;1;2;0;0;17
CÃ_cero CÃ©lio de Figueiredo;18/12/2018;http://lattes.cnpq.br/5156205327629139;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;25;2;28;0;15;1;11;2;0;24
Eduardo GuimarÃ£es Couto;18/01/2019;http://lattes.cnpq.br/4117320971796809;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;18;1;28;0;12;4;7;1;0;5
Maria do Carmo Vieira;14/12/2018;http://lattes.cnpq.br/8711369609923178;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1B - CA AG - Agronomia;0;21;1;60;0;26;1;9;9;0;18
Maria de Fatima Barbosa Coelho;08/01/2019;http://lattes.cnpq.br/5849881961625121;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;2;0;68;0;3;1;1;2;0;11
Cristina Schetino Bastos;25/04/2018;http://lattes.cnpq.br/2083177029086258;N/A;2;0;0;8;0;14;1;1;1;0;20
Erico de Campos Dianese;27/11/2018;http://lattes.cnpq.br/2503998782869167;N/A;0;0;0;10;0;29;0;3;2;0;5
Alaerson Maia Geraldine;13/06/2018;http://lattes.cnpq.br/0083813255453278;N/A;2;0;0;2;0;15;0;7;3;0;0
Ricardo Santos Silva Amorim;18/12/2018;http://lattes.cnpq.br/7163717039353133;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;7;4;24;0;23;5;8;1;0;28
Delvio Sandri;04/12/2018;http://lattes.cnpq.br/0720020819590155;N/A;0;5;3;15;0;7;1;3;6;0;6
Alexsander Seleguini;12/12/2018;http://lattes.cnpq.br/4677527012573000;N/A;0;7;0;48;3;28;2;7;3;0;12
Marcela Pedroso Mendes Resende;24/01/2019;http://lattes.cnpq.br/2080097211870591;N/A;0;2;0;10;3;8;0;4;7;0;17
Carlos Roberto Sette Junior;09/01/2019;http://lattes.cnpq.br/6511764239807115;N/A;0;7;2;18;1;7;0;12;0;0;11
AurÃ©lio Rubio Neto;22/01/2019;http://lattes.cnpq.br/3268972370993509;N/A;0;21;0;17;0;18;0;7;1;0;14
Paulo Eduardo Degrande;18/12/2018;http://lattes.cnpq.br/3211371648619448;N/A;0;0;0;17;1;36;2;14;8;0;11
Layara Alexandre Bessa;09/11/2018;http://lattes.cnpq.br/3771093495005577;N/A;0;8;0;6;0;7;0;1;0;0;0
Darliane de Castro Santos;16/09/2018;http://lattes.cnpq.br/3716108640056809;N/A;0;6;0;2;1;11;0;5;2;0;2
Fernando Higino de Lima e Silva;18/01/2019;http://lattes.cnpq.br/4850204302944962;N/A;0;5;0;18;1;9;0;8;0;0;2
Leandro Carlos;15/12/2018;http://lattes.cnpq.br/8199281450327278;N/A;0;14;1;19;0;4;1;0;0;0;0
Gustavo Castoldi;28/09/2018;http://lattes.cnpq.br/4048332757094949;N/A;0;6;0;13;1;23;0;8;8;0;12
Alessandro Guerra da Silva;03/01/2019;http://lattes.cnpq.br/3427575099074347;N/A;0;32;1;33;0;1;1;1;14;0;26
Livia Vieira de Barros;22/01/2019;http://lattes.cnpq.br/9490340357962289;N/A;0;26;2;21;1;9;1;10;2;0;24
Felipe AndrÃ© Sganzerla Graichen;10/12/2018;http://lattes.cnpq.br/0796995820190577;N/A;0;0;0;6;2;25;0;5;1;0;21
Evandro Novaes;19/12/2018;http://lattes.cnpq.br/0568272239145336;N/A;0;4;0;9;0;37;1;5;8;0;5
Alfredo RaÃºl Abot;04/12/2018;http://lattes.cnpq.br/3387469745568454;N/A;0;0;0;9;0;0;0;2;0;0;13
Guilherme Lafourcade Asmus;16/08/2018;http://lattes.cnpq.br/3664553361618214;N/A;0;0;0;6;0;2;5;1;6;0;1
Adriano Jakelaitis;13/12/2018;http://lattes.cnpq.br/1959399746284558;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;42;0;31;0;12;1;8;4;0;21
LaÃ©rcio Alves de Carvalho;25/09/2018;http://lattes.cnpq.br/2888887850378503;N/A;0;7;0;14;2;10;0;2;7;0;17
KÃ¡tia Aparecida de Pinho Costa;10/12/2018;http://lattes.cnpq.br/6647073354895391;N/A;0;18;2;36;0;12;0;18;0;0;32
Francisco Eduardo Torres;03/09/2018;http://lattes.cnpq.br/6967277625491348;N/A;0;0;0;64;8;0;0;11;1;0;31
Alexandre Siqueira Guedes Coelho;20/06/2018;http://lattes.cnpq.br/0840926305216925;N/A;0;0;0;17;0;12;0;2;1;0;0
JÃºlio Cesar Salton;10/01/2019;http://lattes.cnpq.br/1324347757046603;N/A;0;19;0;9;0;13;7;2;5;0;18
VirgÃ_nia Damin;15/11/2018;http://lattes.cnpq.br/7413922413797454;N/A;0;0;0;9;0;0;1;3;1;0;1
Cleber Furlanetto;26/04/2018;http://lattes.cnpq.br/2965249477852237;N/A;0;1;0;5;1;12;1;0;1;0;31
Leila GarcÃªs de AraÃºjo;27/08/2018;http://lattes.cnpq.br/3488880262260757;N/A;0;3;1;9;0;39;0;13;0;0;2
